Order_Id,User_Id,Ordered_Date
455,149,6/8/2020
456,29,8/11/2020
457,54,4/11/2020
458,107,3/2/2020
459,61,5/28/2020
460,79,9/26/2019
461,50,5/19/2020
462,28,4/1/2020
463,55,1/29/2020
464,68,10/5/2019
465,39,6/15/2020
466,84,5/25/2020
467,116,4/23/2020
468,43,6/30/2020
469,25,1/28/2020
470,54,9/2/2020
471,41,1/30/2020
472,13,2/10/2020
473,121,3/19/2020
474,140,10/29/2019
475,131,11/16/2019
476,19,4/12/2020
477,61,8/25/2020
478,102,10/3/2019
479,86,6/7/2020
480,44,10/2/2019
481,54,6/15/2020
482,34,6/30/2020
483,81,11/4/2019
484,35,4/15/2020
485,141,9/2/2020
486,46,6/1/2020
487,49,11/26/2019
488,15,9/18/2019
489,102,1/25/2020
490,79,1/3/2020
491,131,11/12/2019
492,118,7/14/2020
493,11,7/28/2020
494,141,2/9/2020
495,14,7/27/2020
496,51,1/29/2020
497,10,6/22/2020
498,146,1/31/2020
499,53,3/14/2020
500,69,2/5/2020
