order_id,order_date,status,quantity,price,discount,delivery_date,product_id,user_id
52,10/14/2020,In progress,16,838.23,33.48,8/12/2020,36,4
53,3/24/2020,In progress,17,802.99,33.05,1/4/2020,33,74
54,8/7/2020,In progress,100,352.27,13.42,7/8/2020,7,23
55,6/5/2020,Delivered,86,585.61,78.08,8/6/2020,25,116
56,4/8/2020,Shipped,43,482.37,63.26,6/17/2020,24,64
57,2/11/2020,Shipped,17,223.61,66.08,2/4/2020,5,9
58,8/28/2020,In progress,5,219.8,59.26,10/24/2020,3,8
59,1/15/2020,Delivered,32,90.8,61.52,10/1/2020,32,94
60,4/6/2020,Shipped,44,355.47,32.77,10/21/2020,18,6
61,4/6/2020,Shipped,12,42.74,4.66,3/29/2020,6,73
62,8/8/2020,Shipped,13,665.32,6.89,11/9/2019,20,36
63,8/30/2020,Shipped,76,651.53,62.67,3/24/2020,5,97
64,12/10/2019,In progress,88,684.69,45.44,9/25/2020,13,7
65,12/26/2019,Shipped,75,451.39,48.1,10/16/2020,7,59
66,3/22/2020,Delivered,34,207.77,11.15,1/24/2020,20,17
67,5/6/2020,In progress,68,519.99,7.23,7/28/2020,9,2
68,6/19/2020,Shipped,19,790.76,30.68,7/12/2020,12,67
69,10/28/2019,In progress,85,225.98,21.63,5/2/2020,23,11
70,9/16/2020,In progress,28,87.76,51.33,5/25/2020,8,146
71,8/30/2020,Delivered,21,598.47,16.65,2/29/2020,8,128
72,12/18/2019,Delivered,45,217.37,79.63,5/6/2020,28,123
73,12/6/2019,Shipped,6,453.3,23.01,5/28/2020,3,132
74,11/22/2019,Delivered,74,214.78,4.23,5/5/2020,30,105
75,12/17/2019,Delivered,24,668.76,17.05,8/19/2020,17,18
76,11/19/2019,Delivered,76,12.32,24.84,7/6/2020,35,101
77,6/7/2020,Shipped,62,494.48,62.23,4/11/2020,36,3
78,7/21/2020,In progress,58,355.91,62.63,2/8/2020,16,47
79,4/8/2020,In progress,69,401.1,59.38,4/28/2020,1,33
80,12/11/2019,In progress,55,730.89,54.68,2/19/2020,9,111
81,7/26/2020,In progress,25,586.64,66.58,3/31/2020,35,55
82,2/2/2020,Delivered,59,389.11,45.44,10/30/2019,10,48
83,8/2/2020,Delivered,55,447.83,48.45,1/14/2020,19,12
84,4/12/2020,Delivered,17,499.58,30.36,12/11/2019,3,23
85,4/14/2020,Shipped,98,173.69,45.28,9/18/2020,28,75
86,5/22/2020,Delivered,1,954.69,36.03,10/21/2020,27,75
87,6/9/2020,In progress,35,590.07,65.25,3/2/2020,26,108
88,3/7/2020,Delivered,22,595.97,60.29,7/2/2020,23,108
89,6/6/2020,In progress,56,891.88,74.91,4/10/2020,4,67
90,7/19/2020,In progress,24,332.94,57.49,9/22/2020,36,23
91,12/26/2019,In progress,31,759.36,24.81,11/18/2019,2,26
92,9/15/2020,Shipped,45,852.82,54.32,11/24/2019,31,79
93,9/29/2020,Delivered,87,760.23,46.71,5/19/2020,5,44
94,4/7/2020,Delivered,20,846.02,30.11,6/24/2020,14,136
95,2/1/2020,In progress,100,929.14,49.82,12/8/2019,2,20
96,5/6/2020,Shipped,72,899.88,26.52,11/5/2019,6,131
97,7/27/2020,Shipped,12,594.32,35.33,12/22/2019,30,10
98,2/2/2020,Shipped,81,926.62,7.56,2/20/2020,14,49
99,4/15/2020,Shipped,77,196.96,41.9,6/24/2020,24,24
100,2/24/2020,In progress,69,600.51,61.32,7/24/2020,19,108
101,3/26/2020,In progress,44,977.42,29.19,11/26/2019,25,73
102,7/10/2020,Delivered,12,988.69,62.87,8/4/2020,30,20
103,9/27/2020,Shipped,36,800.3,17.44,2/8/2020,36,52
104,12/1/2019,Delivered,7,850.87,22.4,11/4/2019,30,146
105,11/10/2019,In progress,87,604.37,44.84,7/23/2020,9,57
106,7/2/2020,Delivered,60,367.61,33.02,3/24/2020,29,30
107,6/19/2020,Shipped,81,431.98,58.44,12/19/2019,33,121
108,5/11/2020,Delivered,95,60.37,17.62,4/8/2020,29,135
109,5/17/2020,In progress,43,393.72,69.38,9/20/2020,4,103
110,8/27/2020,In progress,84,967.52,43.81,8/25/2020,16,151
111,10/16/2020,Shipped,63,829.76,24.3,1/15/2020,30,86
112,10/7/2020,In progress,6,502.97,36.4,8/30/2020,3,136
113,10/22/2020,Delivered,5,603.8,7.03,9/2/2020,1,70
114,4/24/2020,In progress,97,85.26,66.22,2/8/2020,24,5
115,2/7/2020,Shipped,17,675.84,16.63,10/15/2020,5,36
116,8/29/2020,Delivered,3,479.05,67.8,9/18/2020,11,5
117,12/17/2019,In progress,30,339.05,1.53,4/29/2020,36,3
118,4/26/2020,In progress,51,333.78,57.03,9/28/2020,11,87
119,11/5/2019,In progress,30,688.9,50.97,6/19/2020,9,36
120,10/7/2020,Delivered,4,749.78,26.8,8/23/2020,12,118
121,5/14/2020,Delivered,34,533.63,16.15,3/27/2020,36,21
122,7/4/2020,In progress,17,952.1,5.61,11/27/2019,12,103
123,11/18/2019,Delivered,60,926.83,25.66,6/11/2020,22,38
124,1/19/2020,Shipped,98,707.81,44.57,10/6/2020,2,41
125,9/16/2020,Shipped,84,619.82,57.69,8/8/2020,12,77
126,6/22/2020,Delivered,59,739.92,25.54,11/13/2019,3,95
127,6/17/2020,Delivered,35,107.91,75.51,3/21/2020,11,74
128,1/21/2020,Shipped,92,716.41,22.98,3/30/2020,35,45
129,11/9/2019,Delivered,39,527.44,73.12,4/26/2020,16,81
130,1/14/2020,In progress,32,355.31,76.35,8/17/2020,4,127
131,5/5/2020,Delivered,23,789.75,3.24,12/30/2019,21,109
132,12/18/2019,Delivered,95,669.31,19.93,1/10/2020,17,17
133,8/17/2020,Shipped,90,826.88,79.68,5/21/2020,3,40
134,4/10/2020,In progress,51,218.52,56.22,3/29/2020,26,34
135,1/2/2020,Delivered,97,389.81,78.96,7/3/2020,21,35
136,5/17/2020,In progress,28,120.52,63.9,7/22/2020,2,72
137,12/1/2019,Delivered,80,473.4,13.9,2/14/2020,8,141
138,5/20/2020,Delivered,87,453.97,51.38,4/25/2020,5,59
139,8/19/2020,Delivered,73,350.75,47.72,3/16/2020,35,142
140,4/23/2020,Delivered,84,496.22,59.18,7/10/2020,10,122
141,5/15/2020,Shipped,44,475.65,51.38,12/3/2019,8,69
142,10/27/2020,Delivered,46,687.9,5.39,11/30/2019,22,138
143,3/24/2020,In progress,94,496.68,3.08,9/18/2020,4,104
144,1/5/2020,Delivered,74,792.09,47.53,7/21/2020,22,69
145,10/27/2020,In progress,41,124.29,72.21,7/23/2020,15,117
146,10/10/2020,In progress,61,35.53,63.66,12/4/2019,7,52
147,11/13/2019,In progress,92,792.22,26.18,8/9/2020,3,42
148,12/21/2019,In progress,29,991.72,25.96,3/11/2020,25,9
149,1/14/2020,In progress,71,36.41,14.39,4/28/2020,33,21
150,4/19/2020,In progress,87,546.06,66.55,2/17/2020,4,14
151,10/27/2020,In progress,97,541.02,20.35,6/3/2020,33,106
152,2/3/2020,In progress,45,786.76,70.36,12/29/2019,1,17
153,6/24/2020,Delivered,90,634.3,40.43,2/25/2020,8,55
154,2/20/2020,Shipped,49,206.07,43.8,7/13/2020,12,17
155,10/30/2019,Shipped,34,935.04,29.1,9/24/2020,33,49
156,9/7/2020,Shipped,30,592.52,15.52,3/21/2020,20,117
157,3/25/2020,Shipped,46,589.12,70.93,2/1/2020,5,122
158,6/22/2020,Delivered,92,383.52,51.49,5/15/2020,34,76
159,10/25/2020,Delivered,22,733.33,12.23,6/14/2020,2,137
160,4/4/2020,Delivered,98,324.23,28.32,2/17/2020,34,67
161,7/21/2020,Shipped,13,127.28,63.7,5/1/2020,14,57
162,5/15/2020,Shipped,99,743.88,8.58,3/9/2020,30,15
163,8/21/2020,Shipped,9,727.18,16.35,3/8/2020,25,83
164,11/25/2019,In progress,31,761.85,49.73,4/19/2020,18,28
165,11/14/2019,In progress,32,220.14,22.42,2/6/2020,18,32
166,10/30/2019,Delivered,54,932.2,57.23,11/12/2019,11,96
167,12/10/2019,Delivered,95,674.34,39.57,5/29/2020,36,131
168,7/19/2020,Shipped,29,447.49,39.29,4/2/2020,28,147
169,9/17/2020,In progress,69,226.88,57.76,2/23/2020,31,7
170,3/4/2020,In progress,1,662.3,60.38,8/1/2020,25,12
171,4/5/2020,Delivered,45,596.82,75.38,6/26/2020,12,61
172,7/27/2020,Delivered,82,115.38,29.92,9/6/2020,30,108
173,4/21/2020,Shipped,47,816.42,52.96,12/20/2019,22,48
174,5/7/2020,Shipped,53,222.71,4.27,5/22/2020,18,44
175,6/23/2020,Shipped,23,729.97,8.22,7/25/2020,13,21
176,6/22/2020,Shipped,32,255.95,49.4,8/8/2020,2,55
177,7/29/2020,In progress,20,855.99,56.03,8/23/2020,26,11
178,6/12/2020,Delivered,50,922.9,56.37,11/29/2019,3,111
179,3/24/2020,Shipped,8,460.62,4.6,2/1/2020,12,33
180,9/6/2020,In progress,60,822.82,63.74,2/18/2020,2,124
181,2/6/2020,In progress,36,893.88,33.13,4/28/2020,15,35
182,8/31/2020,Delivered,14,218.01,72.94,5/25/2020,12,40
183,5/16/2020,Shipped,19,109.68,43.36,11/1/2019,32,50
184,11/7/2019,Shipped,94,792.58,41.9,6/27/2020,12,56
185,1/24/2020,Shipped,60,119.16,64.01,3/18/2020,29,81
186,10/17/2020,Delivered,45,876.81,60.62,1/9/2020,19,68
187,11/8/2019,Delivered,26,15.95,6.26,1/4/2020,35,100
188,11/2/2019,Delivered,35,183.9,36.85,4/15/2020,22,101
189,11/26/2019,Delivered,84,783.72,77.22,2/11/2020,30,85
190,6/23/2020,Shipped,24,647.84,24.72,1/8/2020,30,35
191,8/13/2020,Delivered,75,727.74,67.54,7/18/2020,33,114
192,9/5/2020,Delivered,40,880.2,47.76,11/13/2019,19,109
193,7/31/2020,Shipped,36,349.78,50.49,5/12/2020,22,72
194,5/1/2020,In progress,74,601.23,32.69,1/8/2020,33,59
195,2/21/2020,Delivered,68,581.37,7.35,12/11/2019,8,97
196,9/17/2020,In progress,19,611.82,46.67,12/30/2019,26,94
197,5/8/2020,Delivered,45,440.89,77.9,4/25/2020,17,65
198,8/23/2020,Shipped,7,531.8,17.93,1/20/2020,10,144
199,1/17/2020,In progress,100,879.31,46.2,10/29/2019,31,24
200,10/13/2020,In progress,84,127.02,41.2,8/29/2020,1,48
